,enter_time,leave_time
flow_3_0,1.0,nan
flow_1_0,1.0,nan
flow_2_0,1.0,nan
flow_0_0,1.0,nan
flow_1_1,10.0,nan
flow_3_1,10.0,nan
flow_0_1,10.0,nan
flow_2_1,10.0,nan
flow_1_2,19.0,nan
flow_2_2,19.0,nan
flow_0_2,19.0,nan
flow_3_2,19.0,nan
flow_1_3,28.0,nan
flow_3_3,28.0,nan
flow_2_3,28.0,nan
flow_0_3,28.0,nan
flow_3_4,37.0,nan
flow_2_4,37.0,nan
flow_0_4,37.0,nan
flow_1_4,37.0,nan
flow_3_5,46.0,nan
flow_0_5,46.0,nan
flow_1_5,46.0,nan
flow_2_5,46.0,nan
flow_1_6,55.0,nan
flow_2_6,55.0,nan
flow_3_6,55.0,nan
flow_0_6,55.0,nan
flow_0_7,64.0,nan
flow_3_7,64.0,nan
flow_2_7,64.0,nan
flow_1_7,64.0,nan
flow_0_8,73.0,nan
flow_1_8,73.0,nan
flow_2_8,73.0,nan
flow_3_8,73.0,nan
flow_2_9,82.0,nan
flow_1_9,82.0,nan
flow_3_9,82.0,nan
flow_0_9,82.0,nan
flow_1_10,91.0,nan
flow_0_10,91.0,nan
flow_3_10,91.0,nan
flow_2_10,91.0,nan
flow_3_11,100.0,nan
flow_2_11,100.0,nan
flow_1_11,100.0,nan
flow_0_11,100.0,nan
flow_0_12,109.0,nan
flow_1_12,109.0,nan
flow_3_12,109.0,nan
flow_2_12,109.0,nan
flow_3_13,118.0,nan
flow_1_13,118.0,nan
flow_0_13,118.0,nan
flow_2_13,118.0,nan
flow_3_14,127.0,nan
flow_1_14,127.0,nan
flow_0_14,127.0,nan
flow_2_14,127.0,nan
flow_3_15,136.0,nan
flow_2_15,136.0,nan
flow_0_15,136.0,nan
flow_1_15,136.0,nan
flow_3_16,145.0,nan
flow_0_16,145.0,nan
flow_2_16,145.0,nan
flow_1_16,145.0,nan
flow_0_17,154.0,nan
flow_1_17,154.0,nan
flow_2_17,154.0,nan
flow_3_17,154.0,nan
flow_3_18,163.0,nan
flow_2_18,163.0,nan
flow_0_18,163.0,nan
flow_1_18,163.0,nan
flow_0_19,172.0,nan
flow_1_19,172.0,nan
flow_3_19,172.0,nan
flow_2_19,172.0,nan
flow_2_20,181.0,nan
flow_0_20,181.0,nan
flow_1_20,181.0,nan
flow_3_20,181.0,nan
flow_3_21,190.0,nan
flow_0_21,190.0,nan
flow_2_21,190.0,nan
flow_1_21,190.0,nan
flow_3_22,199.0,nan
flow_1_22,199.0,nan
flow_0_22,199.0,nan
flow_2_22,199.0,nan
flow_3_23,208.0,nan
flow_2_23,208.0,nan
flow_1_23,208.0,nan
flow_0_23,208.0,nan
flow_1_24,217.0,nan
flow_2_24,217.0,nan
flow_0_24,217.0,nan
flow_3_24,217.0,nan
flow_3_25,226.0,nan
flow_1_25,226.0,nan
flow_2_25,226.0,nan
flow_0_25,226.0,nan
flow_0_26,235.0,nan
flow_2_26,235.0,nan
flow_3_26,235.0,nan
flow_1_26,235.0,nan
flow_1_27,244.0,nan
flow_3_27,244.0,nan
flow_2_27,244.0,nan
flow_0_27,244.0,nan
flow_1_28,253.0,nan
flow_0_28,253.0,nan
flow_3_28,253.0,nan
flow_2_28,253.0,nan
flow_0_29,262.0,nan
flow_1_29,262.0,nan
flow_3_29,262.0,nan
flow_2_29,262.0,nan
flow_0_30,271.0,nan
flow_2_30,271.0,nan
flow_1_30,271.0,nan
flow_3_30,271.0,nan
flow_3_31,280.0,nan
flow_0_31,280.0,nan
flow_2_31,280.0,nan
flow_1_31,280.0,nan
flow_1_32,289.0,nan
flow_2_32,289.0,nan
flow_0_32,289.0,nan
flow_3_32,289.0,nan
flow_0_33,298.0,nan
flow_1_33,298.0,nan
flow_3_33,298.0,nan
flow_2_33,298.0,nan
flow_0_34,307.0,nan
flow_2_34,307.0,nan
flow_1_34,307.0,nan
flow_3_34,307.0,nan
flow_3_35,316.0,nan
flow_2_35,316.0,nan
flow_1_35,316.0,nan
flow_0_35,316.0,nan
flow_1_36,325.0,nan
flow_0_36,325.0,nan
flow_3_36,325.0,nan
flow_2_36,325.0,nan
flow_0_37,334.0,nan
flow_3_37,334.0,nan
flow_1_37,334.0,nan
flow_2_37,334.0,nan
flow_0_38,343.0,nan
flow_1_38,343.0,nan
flow_3_38,343.0,nan
flow_2_38,343.0,nan
flow_3_39,352.0,nan
flow_0_39,352.0,nan
flow_2_39,352.0,nan
flow_1_39,352.0,nan
flow_1_40,361.0,nan
flow_2_40,361.0,nan
flow_0_40,361.0,nan
flow_3_40,361.0,nan
flow_3_41,370.0,nan
flow_0_41,370.0,nan
flow_2_41,370.0,nan
flow_1_41,370.0,nan
flow_0_42,379.0,nan
flow_2_42,379.0,nan
flow_3_42,379.0,nan
flow_1_42,379.0,nan
flow_2_43,388.0,nan
flow_1_43,388.0,nan
flow_0_43,388.0,nan
flow_3_43,388.0,nan
flow_2_44,397.0,nan
flow_0_44,397.0,nan
flow_1_44,397.0,nan
flow_3_44,397.0,nan
flow_1_45,406.0,nan
flow_0_45,406.0,nan
flow_3_45,406.0,nan
flow_2_45,406.0,nan
flow_2_46,415.0,nan
flow_1_46,415.0,nan
flow_0_46,415.0,nan
flow_3_46,415.0,nan
